"1336203859430002688","https://twitter.com/datGestruepp/status/1336203859430002688","08.12.2020","Oh Logan! Ein Insekt zum Käffchen?","http://pbs.twimg.com/media/Em8MEGlXIAEgsOT.jpg","Logan (Haustier von Pewy)"
"1336566251011846144","https://twitter.com/datGestruepp/status/1336566251011846144","09.12.2020","Huch! Warum so böse?","http://pbs.twimg.com/media/Em8MctfXMAEVXXC.jpg","Roberto (Futurama, Serie)"
"1336928635886989312","https://twitter.com/datGestruepp/status/1336928635886989312","10.12.2020","otto? Ne... der war nicht hier. Das war ein anderer.","http://pbs.twimg.com/media/EnGyLmVW4AAaTGk.jpg","Benjamin Blümchen (Serie)"
"1337291026751492097","https://twitter.com/datGestruepp/status/1337291026751492097","11.12.2020","Oh! Eine Eisfratte! Unheimlich.","http://pbs.twimg.com/media/EnGyce_XIAMLpys.jpg","Eisfratte (Walter Moers, Zamonien, Buch)"
"1337653412754673665","https://twitter.com/datGestruepp/status/1337653412754673665","12.12.2020","Awwwww! So guck ich meinen Kaffee morgens auch immer an.","http://pbs.twimg.com/media/EnIw-iFWMAAL3Fx.jpg","Dragora (Drake Hollow, Game)"
"1338015801572409345","https://twitter.com/datGestruepp/status/1338015801572409345","13.12.2020","Ein Alien. Ach so.","http://pbs.twimg.com/media/EnIxU4-XIAQvhO7.jpg","Roger (Außerirdischer, American Dad, Serie)"
"1338378187470991360","https://twitter.com/datGestruepp/status/1338378187470991360","14.12.2020","Ähm... Guten Morgen Doc.","http://pbs.twimg.com/media/EndP2C_W4AQwtK9.jpg","Dr. Octopus (Spiderman, Comic)"
"1338740574875234310","https://twitter.com/datGestruepp/status/1338740574875234310","15.12.2020","Der... ist...äh... frisch ja?","http://pbs.twimg.com/media/EndQTXdWMAkO_vU.jpg","Verleihnix (Fischhändler, Asterix und Obelix, Comic)"
"1339102966599438338","https://twitter.com/datGestruepp/status/1339102966599438338","16.12.2020","BROMM!  Oh Gott! Eine Waldspinnenhexe hätte fast in meinen Kaffee gesabbert!!1 LAUFT!!","http://pbs.twimg.com/media/EndQ8puW4AErXyW.jpg","Waldspinnenhexe (Zamonien, Walter Moers, Buch)"
"1339465353877811205","https://twitter.com/datGestruepp/status/1339465353877811205","17.12.2020","Ach wie schön!","http://pbs.twimg.com/media/Ensn6UDXEAk7aO6.jpg","Ritter Runkel von Rübenstein (Digedags, Mosaik Comic)"
"1339827741701664768","https://twitter.com/datGestruepp/status/1339827741701664768","18.12.2020","Warte.... Summsi richtig?","http://pbs.twimg.com/media/En2YyOjXIAE8eyn.jpg","Sumsi (Chip und Chap, Serie)"
"1340190126517989376","https://twitter.com/datGestruepp/status/1340190126517989376","19.12.2020","Ich fühle mich so blumig!","http://pbs.twimg.com/media/En2ZKrsXIAAikRU.jpg","Blubella (Pokemon, Serie, Game)"
"1340552516518305794","https://twitter.com/datGestruepp/status/1340552516518305794","20.12.2020","Sie sind der letzte Mensch... aja.","http://pbs.twimg.com/media/EoFHINvXIAQ_qSa.jpg","Cassandra O'Brien (Dr. Who, Serie)"
